IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.70.91.86,443,443,TRUE,ORD,North America,US,Chicago,290,8.73
34.69.150.180,443,443,TRUE,ORD,North America,US,Chicago,305,8.71
34.69.150.180,443,443,TRUE,ORD,North America,US,Chicago,226,8.69
35.202.158.120,443,443,TRUE,ORD,North America,US,Chicago,241,8.63
34.70.91.86,443,443,TRUE,ORD,North America,US,Chicago,226,8.62
34.55.194.208,443,443,TRUE,ORD,North America,US,Chicago,357,8.62
35.202.158.120,443,443,TRUE,ORD,North America,US,Chicago,324,8.49
34.41.252.92,443,443,TRUE,ORD,North America,US,Chicago,333,8.47
34.22.142.117,443,443,TRUE,CDG,Europe,FR,Paris,447,8.29
34.105.130.188,443,443,TRUE,LHR,Europe,GB,London,290,8.25
35.190.152.145,443,443,TRUE,ATL,North America,US,Atlanta,472,7.91
35.196.72.166,443,443,TRUE,ATL,North America,US,Atlanta,313,7.75
35.204.231.100,443,443,TRUE,AMS,Europe,NL,Amsterdam,384,7.52
34.22.142.117,443,443,TRUE,CDG,Europe,FR,Paris,313,6.97
34.175.202.195,443,443,TRUE,MAD,Europe,ES,Madrid,263,6.47
34.89.91.99,443,443,TRUE,LHR,Europe,GB,London,337,5.88
35.228.36.82,443,443,TRUE,ARN,Europe,SE,Stockholm,388,5.77
34.105.189.25,443,443,TRUE,LHR,Europe,GB,London,323,5.41
34.147.196.2,443,443,TRUE,LHR,Europe,GB,London,319,4.99
34.105.189.25,443,443,TRUE,LHR,Europe,GB,London,309,4.85
35.200.238.235,443,443,TRUE,BOM,Asia Pacific,IN,Mumbai,217,4.7
35.200.238.235,443,443,TRUE,BOM,Asia Pacific,IN,Mumbai,401,1.78
20.221.32.145,443,443,TRUE,ORD,North America,US,Chicago,410,10.37
20.14.73.143,2053,8443,TRUE,LAX,North America,US,Los Angeles,200,10.28
51.145.238.40,2053,443,TRUE,AMS,Europe,NL,Amsterdam,205,10.25
20.82.142.108,8443,443,TRUE,DUB,Europe,IE,Dublin,393,9.76
20.33.30.36,2083,443,TRUE,LAX,North America,US,Los Angeles,390,9.73
4.182.90.213,443,443,TRUE,FRA,Europe,DE,Frankfurt,344,9.73
13.67.136.12,443,443,TRUE,ORD,North America,US,Chicago,272,9.33
