IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.221.32.145,443,443,TRUE,ORD,North America,US,Chicago,410,10.37
20.14.73.143,2053,8443,TRUE,LAX,North America,US,Los Angeles,200,10.28
51.145.238.40,2053,443,TRUE,AMS,Europe,NL,Amsterdam,205,10.25
20.82.142.108,8443,443,TRUE,DUB,Europe,IE,Dublin,393,9.76
20.33.30.36,2083,443,TRUE,LAX,North America,US,Los Angeles,390,9.73
4.182.90.213,443,443,TRUE,FRA,Europe,DE,Frankfurt,344,9.73
13.67.136.12,443,443,TRUE,ORD,North America,US,Chicago,272,9.33
74.249.233.213,443,443,TRUE,ORD,North America,US,Chicago,247,9.3
20.121.115.188,443,443,TRUE,IAD,North America,US,Ashburn,504,8.89
4.255.56.138,443,443,TRUE,IAD,North America,US,Ashburn,290,8.84
4.255.56.137,443,443,TRUE,IAD,North America,US,Ashburn,375,8.71
20.25.205.37,2053,443,TRUE,ORD,North America,US,Chicago,385,8.64
130.0.239.147,2053,443,TRUE,KBP,Europe,UA,Kyiv,212,8.48
20.25.205.37,8443,443,TRUE,ORD,North America,US,Chicago,474,8.34
20.220.29.122,8443,443,TRUE,YYZ,North America,CA,Toronto,380,8.31
20.151.90.208,8443,443,TRUE,YYZ,North America,CA,Toronto,339,8.28
158.23.81.224,2053,443,TRUE,LAX,North America,US,Los Angeles,309,8.27
130.0.239.147,8443,443,TRUE,KBP,Europe,UA,Kyiv,243,8.25
20.228.249.211,2053,443,TRUE,IAD,North America,US,Ashburn,370,8.25
20.151.63.165,8443,443,TRUE,YYZ,North America,CA,Toronto,323,8.16
158.23.81.224,8443,443,TRUE,LAX,North America,US,Los Angeles,345,8.13
20.220.29.122,2053,443,TRUE,YYZ,North America,CA,Toronto,351,8.1
20.36.131.211,443,443,TRUE,IAD,North America,US,Ashburn,414,8.08
20.200.127.8,8443,443,TRUE,YYZ,North America,CA,Toronto,325,8.02
20.151.238.192,8443,443,TRUE,YYZ,North America,CA,Toronto,246,8
20.228.249.211,8443,443,TRUE,IAD,North America,US,Ashburn,382,7.96
20.84.117.28,443,443,TRUE,IAD,North America,US,Ashburn,450,7.91
48.217.34.120,443,443,TRUE,IAD,North America,US,Ashburn,419,7.84
20.127.201.36,443,443,TRUE,IAD,North America,US,Ashburn,399,7.82
20.185.45.204,443,443,TRUE,IAD,North America,US,Ashburn,261,7.81
104.46.111.142,8443,443,TRUE,IAD,North America,US,Ashburn,544,7.79
20.151.60.161,8443,443,TRUE,YYZ,North America,CA,Toronto,467,7.78
4.172.225.82,8443,443,TRUE,YYZ,North America,CA,Toronto,253,7.62
4.172.225.98,8443,443,TRUE,YYZ,North America,CA,Toronto,256,7.53
52.149.136.203,443,443,TRUE,IAD,North America,US,Ashburn,402,7.53
40.123.47.225,8443,443,TRUE,IAD,North America,US,Ashburn,467,7.47
172.212.108.47,443,443,TRUE,IAD,North America,US,Ashburn,298,7.41
40.123.42.160,8443,443,TRUE,IAD,North America,US,Ashburn,305,7.32
172.177.248.69,8443,443,TRUE,IAD,North America,US,Ashburn,360,7.3
20.109.23.42,443,443,TRUE,IAD,North America,US,Ashburn,321,7.25
4.248.47.209,8443,443,TRUE,YUL,North America,CA,Montréal,273,7.22
4.206.223.188,8443,443,TRUE,YYZ,North America,CA,Toronto,429,7.2
172.174.249.255,443,443,TRUE,IAD,North America,US,Ashburn,259,7.16
4.239.248.70,8443,443,TRUE,YYZ,North America,CA,Toronto,494,7.1
104.46.101.90,8443,443,TRUE,IAD,North America,US,Ashburn,509,7
20.62.172.88,443,443,TRUE,IAD,North America,US,Ashburn,373,6.81
40.123.41.147,8443,443,TRUE,IAD,North America,US,Ashburn,353,6.44
20.246.127.166,443,443,TRUE,IAD,North America,US,Ashburn,292,6.02
4.152.146.92,443,443,TRUE,IAD,North America,US,Ashburn,433,5.86
40.123.47.252,8443,443,TRUE,IAD,North America,US,Ashburn,359,5.81
20.57.85.61,443,443,TRUE,IAD,North America,US,Ashburn,415,5.71
20.74.223.241,8080,443,TRUE,ORD,North America,US,Chicago,376,4.04
20.74.223.241,443,443,TRUE,MCI,North America,US,Kansas City,392,3.97
20.74.223.241,443,443,TRUE,MCI,North America,US,Kansas City,628,3.9
